,stimulus,label,confidence
0,stimuli/visualarea_localizer/lcm/body01_lcm.png,white,0.93780512
1,stimuli/visualarea_localizer/lcm/body01_lcm.png,clothing,0.93559015
2,stimuli/visualarea_localizer/lcm/body01_lcm.png,black and white,0.89623994
3,stimuli/visualarea_localizer/lcm/body01_lcm.png,t shirt,0.89409477
4,stimuli/visualarea_localizer/lcm/body01_lcm.png,sleeve,0.87905622
5,stimuli/visualarea_localizer/lcm/body01_lcm.png,outerwear,0.70372283
6,stimuli/visualarea_localizer/lcm/body01_lcm.png,arm,0.68757743
7,stimuli/visualarea_localizer/lcm/body01_lcm.png,pocket,0.67741877
8,stimuli/visualarea_localizer/lcm/body01_lcm.png,long sleeved t shirt,0.61344552
9,stimuli/visualarea_localizer/lcm/body01_lcm.png,formal wear,0.57864177
10,stimuli/visualarea_localizer/lcm/body01_lcm.png,shirt,0.53709084
11,stimuli/visualarea_localizer/lcm/body01_lcm.png,tuxedo,0.53047061
12,stimuli/visualarea_localizer/lcm/body01_lcm.png,sleeveless shirt,0.51641524
13,stimuli/visualarea_localizer/lcm/body01_lcm_mirror.png,white,0.93880826
14,stimuli/visualarea_localizer/lcm/body01_lcm_mirror.png,clothing,0.93597984
15,stimuli/visualarea_localizer/lcm/body01_lcm_mirror.png,t shirt,0.92192817
16,stimuli/visualarea_localizer/lcm/body01_lcm_mirror.png,black and white,0.89428413
17,stimuli/visualarea_localizer/lcm/body01_lcm_mirror.png,sleeve,0.89246136
18,stimuli/visualarea_localizer/lcm/body01_lcm_mirror.png,long sleeved t shirt,0.77711421
19,stimuli/visualarea_localizer/lcm/body01_lcm_mirror.png,outerwear,0.69720393
20,stimuli/visualarea_localizer/lcm/body01_lcm_mirror.png,arm,0.68057352
21,stimuli/visualarea_localizer/lcm/body01_lcm_mirror.png,pocket,0.63981932
22,stimuli/visualarea_localizer/lcm/body01_lcm_mirror.png,shirt,0.52334595
23,stimuli/visualarea_localizer/lcm/body02_lcm.png,clothing,0.938041
24,stimuli/visualarea_localizer/lcm/body02_lcm.png,suit,0.90372008
25,stimuli/visualarea_localizer/lcm/body02_lcm.png,formal wear,0.82820153
26,stimuli/visualarea_localizer/lcm/body02_lcm.png,tuxedo,0.81089264
27,stimuli/visualarea_localizer/lcm/body02_lcm.png,outerwear,0.78894156
28,stimuli/visualarea_localizer/lcm/body02_lcm.png,sleeve,0.76196623
29,stimuli/visualarea_localizer/lcm/body02_lcm.png,jacket,0.689562
30,stimuli/visualarea_localizer/lcm/body02_lcm.png,arm,0.684925
31,stimuli/visualarea_localizer/lcm/body02_lcm_mirror.png,clothing,0.93752229
32,stimuli/visualarea_localizer/lcm/body02_lcm_mirror.png,suit,0.90264261
33,stimuli/visualarea_localizer/lcm/body02_lcm_mirror.png,formal wear,0.8333869
34,stimuli/visualarea_localizer/lcm/body02_lcm_mirror.png,tuxedo,0.82485658
35,stimuli/visualarea_localizer/lcm/body02_lcm_mirror.png,outerwear,0.78210264
36,stimuli/visualarea_localizer/lcm/body02_lcm_mirror.png,sleeve,0.7660886
37,stimuli/visualarea_localizer/lcm/body02_lcm_mirror.png,arm,0.67160904
38,stimuli/visualarea_localizer/lcm/body02_lcm_mirror.png,jacket,0.61799955
39,stimuli/visualarea_localizer/lcm/body02_lcm_mirror.png,pattern,0.51649743
40,stimuli/visualarea_localizer/lcm/body03_lcm.png,clothing,0.92134887
41,stimuli/visualarea_localizer/lcm/body03_lcm.png,sleeve,0.76367152
42,stimuli/visualarea_localizer/lcm/body03_lcm.png,pattern,0.72873873
43,stimuli/visualarea_localizer/lcm/body03_lcm.png,outerwear,0.66432065
44,stimuli/visualarea_localizer/lcm/body03_lcm.png,design,0.597124
45,stimuli/visualarea_localizer/lcm/body03_lcm.png,drawing,0.56304866
46,stimuli/visualarea_localizer/lcm/body03_lcm.png,sketch,0.55737746
47,stimuli/visualarea_localizer/lcm/body03_lcm_mirror.png,clothing,0.92982554
48,stimuli/visualarea_localizer/lcm/body03_lcm_mirror.png,sleeve,0.78534383
49,stimuli/visualarea_localizer/lcm/body03_lcm_mirror.png,pattern,0.74191678
50,stimuli/visualarea_localizer/lcm/body03_lcm_mirror.png,outerwear,0.73039788
51,stimuli/visualarea_localizer/lcm/body03_lcm_mirror.png,jacket,0.65086591
52,stimuli/visualarea_localizer/lcm/body03_lcm_mirror.png,design,0.62030876
53,stimuli/visualarea_localizer/lcm/body03_lcm_mirror.png,drawing,0.50842392
54,stimuli/visualarea_localizer/lcm/body04_lcm.png,clothing,0.929826
55,stimuli/visualarea_localizer/lcm/body04_lcm.png,sleeve,0.75407189
56,stimuli/visualarea_localizer/lcm/body04_lcm.png,pocket,0.72942436
57,stimuli/visualarea_localizer/lcm/body04_lcm.png,arm,0.70430595
58,stimuli/visualarea_localizer/lcm/body04_lcm.png,muscle,0.68035221
59,stimuli/visualarea_localizer/lcm/body04_lcm.png,outerwear,0.65449589
60,stimuli/visualarea_localizer/lcm/body04_lcm.png,trousers,0.62728369
61,stimuli/visualarea_localizer/lcm/body04_lcm.png,suit,0.60519588
62,stimuli/visualarea_localizer/lcm/body04_lcm.png,t shirt,0.589645
63,stimuli/visualarea_localizer/lcm/body04_lcm.png,formal wear,0.51399982
64,stimuli/visualarea_localizer/lcm/body04_lcm.png,tuxedo,0.50016034
65,stimuli/visualarea_localizer/lcm/body04_lcm_mirror.png,clothing,0.9280284
66,stimuli/visualarea_localizer/lcm/body04_lcm_mirror.png,black and white,0.90507406
67,stimuli/visualarea_localizer/lcm/body04_lcm_mirror.png,jeans,0.79051703
68,stimuli/visualarea_localizer/lcm/body04_lcm_mirror.png,sleeve,0.78441435
69,stimuli/visualarea_localizer/lcm/body04_lcm_mirror.png,arm,0.72807473
70,stimuli/visualarea_localizer/lcm/body04_lcm_mirror.png,t shirt,0.72275394
71,stimuli/visualarea_localizer/lcm/body04_lcm_mirror.png,pocket,0.71377873
72,stimuli/visualarea_localizer/lcm/body04_lcm_mirror.png,muscle,0.70867008
73,stimuli/visualarea_localizer/lcm/body04_lcm_mirror.png,outerwear,0.6865043
74,stimuli/visualarea_localizer/lcm/body04_lcm_mirror.png,trousers,0.66342086
75,stimuli/visualarea_localizer/lcm/body04_lcm_mirror.png,monochrome photography,0.55496538
76,stimuli/visualarea_localizer/lcm/body05_lcm.png,clothing,0.9395473
77,stimuli/visualarea_localizer/lcm/body05_lcm.png,sleeve,0.78745556
78,stimuli/visualarea_localizer/lcm/body05_lcm.png,suit,0.7701413
79,stimuli/visualarea_localizer/lcm/body05_lcm.png,tuxedo,0.70270181
80,stimuli/visualarea_localizer/lcm/body05_lcm.png,pocket,0.66984165
81,stimuli/visualarea_localizer/lcm/body05_lcm.png,formal wear,0.65256506
82,stimuli/visualarea_localizer/lcm/body05_lcm.png,outerwear,0.6446498
83,stimuli/visualarea_localizer/lcm/body05_lcm.png,leather,0.52626067
84,stimuli/visualarea_localizer/lcm/body05_lcm.png,pattern,0.52259636
85,stimuli/visualarea_localizer/lcm/body05_lcm.png,jacket,0.51612252
86,stimuli/visualarea_localizer/lcm/body05_lcm_mirror.png,clothing,0.94063061
87,stimuli/visualarea_localizer/lcm/body05_lcm_mirror.png,white,0.93620086
88,stimuli/visualarea_localizer/lcm/body05_lcm_mirror.png,suit,0.80857193
89,stimuli/visualarea_localizer/lcm/body05_lcm_mirror.png,sleeve,0.76405656
90,stimuli/visualarea_localizer/lcm/body05_lcm_mirror.png,tuxedo,0.7399981
91,stimuli/visualarea_localizer/lcm/body05_lcm_mirror.png,formal wear,0.67980731
92,stimuli/visualarea_localizer/lcm/body05_lcm_mirror.png,pocket,0.65437859
93,stimuli/visualarea_localizer/lcm/body05_lcm_mirror.png,outerwear,0.588432
94,stimuli/visualarea_localizer/lcm/body06_lcm.png,clothing,0.92497849
95,stimuli/visualarea_localizer/lcm/body06_lcm.png,black and white,0.902227
96,stimuli/visualarea_localizer/lcm/body06_lcm.png,sleeve,0.76252097
97,stimuli/visualarea_localizer/lcm/body06_lcm.png,arm,0.70466161
98,stimuli/visualarea_localizer/lcm/body06_lcm.png,suit,0.70232111
99,stimuli/visualarea_localizer/lcm/body06_lcm.png,t shirt,0.65351331
100,stimuli/visualarea_localizer/lcm/body06_lcm.png,outerwear,0.64062744
101,stimuli/visualarea_localizer/lcm/body06_lcm.png,tuxedo,0.616509
102,stimuli/visualarea_localizer/lcm/body06_lcm.png,pocket,0.6081509
103,stimuli/visualarea_localizer/lcm/body06_lcm.png,formal wear,0.58607709
104,stimuli/visualarea_localizer/lcm/body06_lcm.png,monochrome photography,0.53173709
105,stimuli/visualarea_localizer/lcm/body06_lcm_mirror.png,clothing,0.9316318
106,stimuli/visualarea_localizer/lcm/body06_lcm_mirror.png,suit,0.8034234
107,stimuli/visualarea_localizer/lcm/body06_lcm_mirror.png,sleeve,0.795624
108,stimuli/visualarea_localizer/lcm/body06_lcm_mirror.png,tuxedo,0.70711833
109,stimuli/visualarea_localizer/lcm/body06_lcm_mirror.png,outerwear,0.70380443
110,stimuli/visualarea_localizer/lcm/body06_lcm_mirror.png,formal wear,0.68419725
111,stimuli/visualarea_localizer/lcm/body06_lcm_mirror.png,arm,0.682611
112,stimuli/visualarea_localizer/lcm/body06_lcm_mirror.png,t shirt,0.65511554
113,stimuli/visualarea_localizer/lcm/body06_lcm_mirror.png,pocket,0.60561097
114,stimuli/visualarea_localizer/lcm/body06_lcm_mirror.png,pattern,0.54819685
115,stimuli/visualarea_localizer/lcm/body07_lcm.png,clothing,0.92762995
116,stimuli/visualarea_localizer/lcm/body07_lcm.png,black and white,0.915008
117,stimuli/visualarea_localizer/lcm/body07_lcm.png,sleeve,0.72791654
118,stimuli/visualarea_localizer/lcm/body07_lcm.png,tuxedo,0.72719657
119,stimuli/visualarea_localizer/lcm/body07_lcm.png,arm,0.72392404
120,stimuli/visualarea_localizer/lcm/body07_lcm.png,formal wear,0.68397135
121,stimuli/visualarea_localizer/lcm/body07_lcm.png,outerwear,0.65811265
122,stimuli/visualarea_localizer/lcm/body07_lcm.png,suit,0.6495105
123,stimuli/visualarea_localizer/lcm/body07_lcm.png,monochrome photography,0.64169645
124,stimuli/visualarea_localizer/lcm/body07_lcm.png,trousers,0.56794077
125,stimuli/visualarea_localizer/lcm/body07_lcm.png,human body,0.54442728
126,stimuli/visualarea_localizer/lcm/body07_lcm.png,pocket,0.54400313
127,stimuli/visualarea_localizer/lcm/body07_lcm.png,t shirt,0.53559774
128,stimuli/visualarea_localizer/lcm/body07_lcm_mirror.png,clothing,0.92819232
129,stimuli/visualarea_localizer/lcm/body07_lcm_mirror.png,black and white,0.91206932
130,stimuli/visualarea_localizer/lcm/body07_lcm_mirror.png,arm,0.7162863
131,stimuli/visualarea_localizer/lcm/body07_lcm_mirror.png,tuxedo,0.70716351
132,stimuli/visualarea_localizer/lcm/body07_lcm_mirror.png,formal wear,0.68504047
133,stimuli/visualarea_localizer/lcm/body07_lcm_mirror.png,suit,0.63909465
134,stimuli/visualarea_localizer/lcm/body07_lcm_mirror.png,monochrome photography,0.61553764
135,stimuli/visualarea_localizer/lcm/body07_lcm_mirror.png,outerwear,0.60667849
136,stimuli/visualarea_localizer/lcm/body07_lcm_mirror.png,human body,0.54361367
137,stimuli/visualarea_localizer/lcm/body07_lcm_mirror.png,t shirt,0.52682948
138,stimuli/visualarea_localizer/lcm/body08_lcm.png,clothing,0.9340539
