stim,history,filename,class,onset,PredefinedDictionaryExtractor,PredefinedDictionaryExtractor,PredefinedDictionaryExtractor,PredefinedDictionaryExtractor
,,,,,SUBTLEXusfrequencyabove1_Lg10WF,concreteness_Conc.M,aoa_AoA_Kup_lem,affect_V.Mean.Sum
text[I],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,21.33,6.30931710712425,3.93,2.790163,
text[%HESITATION],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,21.36,,,,
text[WNED],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,43.11,,,,
text[because],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,51.73,4.737375548745249,1.22,4.441998,
text[I],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,52.03,6.30931710712425,3.93,2.790163,
text[mmhm],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,57.97,,,,
text[I],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,60.59,6.30931710712425,3.93,2.790163,
text[want],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,60.75,5.148352740207044,1.93,4.16,6.0
text[to],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,60.98,6.063172298552157,1.55,3.951776,
text[see],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,61.04,5.115257608061223,3.21,3.06,6.27
text[this],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,61.54,5.609504766715159,2.14,4.93222,
text[annnnd],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,64.0,,,,
text[and],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,67.1,5.834281427337299,1.52,4.5698820000000016,
text[because],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,68.23,4.737375548745249,1.22,4.441998,
text[he],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,79.35,5.590505231992682,3.93,3.8132349999999997,
text[I],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,84.8,6.30931710712425,3.93,2.790163,
text[%HESITATION],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,84.83,,,,
text[strong],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,124.75,3.6465017500316117,3.14,4.58,6.81
text[to],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,136.0,6.063172298552157,1.55,3.951776,
