stim,history,filename,class,onset,PredefinedDictionaryExtractor,PredefinedDictionaryExtractor,PredefinedDictionaryExtractor,PredefinedDictionaryExtractor
,,,,,SUBTLEXusfrequencyabove1_Lg10WF,concreteness_Conc.M,aoa_AoA_Kup_lem,affect_V.Mean.Sum
text[basic],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,20.27,2.9003671286564705,2.26,9.14,5.5
text[layout],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,20.67,2.2528530309798933,3.38,10.47,4.95
text[bookstore],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,21.52,2.303196057420489,4.89,6.45,7.19
text[cafe],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,22.54,2.413299764081252,4.96,8.747425999999999,
text[most],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,23.34,4.252610340567373,2.38,4.580539,
text[everything],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,23.55,4.5237464668115654,2.3,4.441998,
text[else],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,23.87,4.359987174441292,1.63,6.5307699999999995,
text[is],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,24.12,5.662440491974003,1.59,5.11,
text[here],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,24.23,5.363215105379939,3.13,3.738636,
text[too],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,24.41,4.844793927425097,1.7,5.1027320000000005,
text[with],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,25.12,5.41071988585366,2.0,4.441998,
text[the],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,25.33,6.176643619755298,1.43,3.983747,
text[people],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,25.4,4.750145688538127,4.82,3.52,5.7
text[projections],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,26.07,1.7558748556724917,,10.0,
text[of],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,26.7,5.771175771563678,1.67,4.548568000000001,
text[my],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,26.76,5.537693194367392,2.42,2.715564,
text[sub],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,26.9,2.5921767573958667,3.46,6.55,5.0
text[conscious],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,27.17,2.5415792439465807,2.03,10.7,5.53
text[yours],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,28.04,4.018783688874697,2.14,4.505940000000002,
text[remember],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,29.45,4.441962070088528,2.41,5.63,6.5
text[you],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,29.7,6.329339698310973,4.11,4.3460849999999995,
text[are],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,29.97,5.424347419871935,1.96,5.11,
text[the],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,30.15,6.176643619755298,1.43,3.983747,
text[dreamer],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,30.25,2.1931245983544616,2.19,7.25,7.45
text[you],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,30.66,6.329339698310973,4.11,4.3460849999999995,
text[build],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,30.8,3.3896975482063856,3.71,4.45,6.33
text[this],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,31.11,5.609504766715159,2.14,4.93222,
text[world],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,31.34,4.365806101379361,4.36,5.32,6.46
text[I],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,31.95,6.30931710712425,3.93,2.790163,
text[am],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,32.12,4.751579310214675,1.96,5.11,
text[the],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,32.24,6.176643619755298,1.43,3.983747,
text[subject],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,32.32,3.2755416884013098,3.14,7.3,5.33
text[my],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,33.13,5.537693194367392,2.42,2.715564,
text[mind],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,33.37,4.392978186542541,2.5,5.37,6.7
text[populates],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,33.74,,,,
text[you],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,34.84,6.329339698310973,4.11,4.3460849999999995,
text[can],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,34.95,5.427520189164111,4.55,4.32,6.41
text[literally],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,35.06,2.869231719730976,2.48,9.504747,
text[talk],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,35.93,4.639546250452347,4.07,3.68,6.64
text[to],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,36.18,6.063172298552157,1.55,3.951776,
text[my],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,36.28,5.537693194367392,2.42,2.715564,
text[subconscious],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,36.42,2.130333768495006,1.57,11.71,5.5
text[that's],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,37.04,,,,
text[one],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,37.24,5.195027421937368,3.97,3.2271,6.09
text[of],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,37.36,5.771175771563678,1.67,4.548568000000001,
text[the],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,37.42,6.176643619755298,1.43,3.983747,
text[ways],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,37.48,3.420615770625765,2.0,5.39,
text[we],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,37.74,5.662387579471464,3.08,5.0387900000000005,
text[extract],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,37.86,2.1789769472931693,3.56,11.05,5.15
text[information],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,38.33,3.6587743208443566,2.87,7.19,6.33
text[some],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,39.15,4.944926609986216,2.48,4.846964,
text[of],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,39.8,5.771175771563678,1.67,4.548568000000001,
text[us],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,39.89,4.9369106590096274,3.59,4.18623,
text[do],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,40.11,5.495427770030364,2.46,3.6,5.41
text[good],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,40.29,5.124236784040634,1.64,3.55,7.89
text[by],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,41.42,4.8348338181358885,1.55,5.411785000000001,
text[creating],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,41.5,2.598790506763115,,7.1,
text[something],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,41.97,4.883712525616813,1.82,5.049447000000002,
text[secure],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,42.36,3.094121595840561,2.69,8.42,7.08
text[like],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,42.83,5.309519450799361,1.89,3.685351,7.44
text[a],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,43.13,6.017525817165723,1.46,2.8933839999999997,
text[like],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,44.02,5.309519450799361,1.89,3.685351,7.44
text[a],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,44.18,6.017525817165723,1.46,2.8933839999999997,
text[bank],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,44.22,3.6369891018122287,4.78,6.44,6.0
text[vault],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,44.61,2.7888751157754172,4.62,9.16,5.84
text[door],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,44.91,4.173069663637268,4.81,3.05,5.43
text[jail],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,45.13,3.5566642621225686,4.83,5.74,1.91
text[the],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,45.53,6.176643619755298,1.43,3.983747,
text[mind],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,45.61,4.392978186542541,2.5,5.37,6.7
text[automatically],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,46.07,2.330413773349191,2.03,,
text[fills],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,46.78,2.127104798364808,,5.06,
text[in],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,47.14,5.6976172438627275,3.0,3.685351,
text[trying],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,48.05,4.358886204405868,2.11,3.44,
text[to],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,48.3,6.063172298552157,1.55,3.951776,
text[test],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,48.58,3.632356046239073,3.93,6.26,4.44
text[San],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,49.63,3.4055171069763763,,,
text[then],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,50.61,4.8806249760926965,1.44,6.7439100000000005,
text[you],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,50.76,6.329339698310973,4.11,4.3460849999999995,
text[break],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,50.9,4.052155067199565,3.71,5.3,5.1
text[in],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,51.14,5.6976172438627275,3.0,3.685351,
text[and],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,51.23,5.834281427337299,1.52,4.5698820000000016,
text[steal],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,51.37,3.4347285417797577,3.84,6.17,2.17
text[I],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,53.65,6.30931710712425,3.93,2.790163,
text[guess],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,53.72,4.3646260289550405,2.28,5.44,5.18
text[I],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,53.93,6.30931710712425,3.93,2.790163,
text[thought],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,54.0,4.615244934026375,1.97,5.891350000000001,6.76
text[that],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,54.24,5.857138226843896,1.54,5.529012000000002,
text[the],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,55.14,6.176643619755298,1.43,3.983747,
text[dream],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,55.23,3.8324450411741116,2.6,4.88,7.43
text[space],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,55.6,3.5276299008713385,3.54,5.67,6.89
text[to],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,55.97,6.063172298552157,1.55,3.951776,
text[be],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,56.08,5.46699507375075,1.85,5.11,6.18
text[all],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,56.25,5.420378278194454,2.27,4.239515000000001,
text[about],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,56.39,5.2676573970539184,1.77,5.070761000000001,
text[the],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,56.65,6.176643619755298,1.43,3.983747,
text[visuals],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,56.75,1.5563025007672873,,9.11,
text[that],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,57.3,5.857138226843896,1.54,5.529012000000002,
text[it's],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,57.97,,,,
text[more],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,58.07,4.821048197629393,2.37,3.7812639999999997,
text[about],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,58.28,5.2676573970539184,1.77,5.070761000000001,
text[the],AudioStim->IBMSpeechAPIConverter/ComplexTextStim->ComplexTextIterator/TextStim->PredefinedDictionaryExtractor/ExtractorResult,,TextStim,58.55,6.176643619755298,1.43,3.983747,
